X_Plane1_r_0,X_Plane1_r_1,X_Plane1_r_2,X_Plane1_dr_0,X_Plane1_dr_1,X_Plane1_dr_2,X_Plane1_R_0,X_Plane1_R_1,X_Plane1_R_2,X_Plane1_R_3,X_Plane1_R_4,X_Plane1_R_5,X_Plane1_R_6,X_Plane1_R_7,X_Plane1_R_8,X_Plane1_omega_0,X_Plane1_omega_1,X_Plane1_omega_2,X_Plane1_thrust_0,X_Plane1_thrust_1,X_Plane1_flaps_0,X_Plane1_flaps_1,X_t_0,U_Plane1_dthrust_0,U_Plane1_dthrust_1,U_Plane1_dflaps_0,U_Plane1_dflaps_1
1.220192134e+00,4.699659551e+01,1.660711888e+01,1.638579498e+01,-6.589897090e-01,2.801439677e-01,9.971810766e-01,-6.300553216e-02,-4.175443031e-02,4.209494612e-02,9.218310797e-01,-3.852666904e-01,6.277320335e-02,3.824705004e-01,9.218930314e-01,3.689669534e-02,2.316810567e-01,-2.279240040e-01,6.090442097e+00,6.136215111e+00,-2.194583744e-01,1.145882174e-02,0.000000000e+00,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
1.617756667e+00,4.697792548e+01,1.661188634e+01,1.635957999e+01,-7.781909443e-01,2.294118125e-01,9.964947686e-01,-7.026273390e-02,-4.487045871e-02,4.767371998e-02,9.218053907e-01,-3.846869515e-01,6.838894503e-02,3.811777105e-01,9.219501273e-01,3.630478191e-02,2.297954127e-01,-2.280607619e-01,6.211905129e+00,6.257678182e+00,-2.202123406e-01,1.138224202e-02,2.429262133e-02,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
2.014715243e+00,4.695658567e+01,1.661568601e+01,1.633336783e+01,-8.967974951e-01,1.793730221e-01,9.957636184e-01,-7.749639659e-02,-4.793227000e-02,5.325587102e-02,9.217323848e-01,-3.841367197e-01,7.393909437e-02,3.798802231e-01,9.219949929e-01,3.570999114e-02,2.279537727e-01,-2.281976682e-01,6.333368161e+00,6.379141252e+00,-2.209663069e-01,1.130566230e-02,4.858524266e-02,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
2.411065365e+00,4.693257233e+01,1.661851345e+01,1.630715489e+01,-1.014834978e+00,1.299975855e-01,9.949871271e-01,-8.470693605e-02,-5.094185043e-02,5.884092357e-02,9.216121530e-01,-3.836159379e-01,7.942580949e-02,3.785773015e-01,9.220273520e-01,3.511249257e-02,2.261580933e-01,-2.283347125e-01,6.454831193e+00,6.500604323e+00,-2.217202731e-01,1.122908258e-02,7.287786400e-02,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
2.806804536e+00,4.690588170e+01,1.662036416e+01,1.628093754e+01,-1.132329009e+00,8.125549190e-02,9.941647964e-01,-9.189476811e-02,-5.390118624e-02,6.442840197e-02,9.214447864e-01,-3.831245485e-01,8.485124848e-02,3.772682087e-01,9.220469282e-01,3.451245574e-02,2.244103314e-01,-2.284718845e-01,6.576294226e+00,6.622067393e+00,-2.224742394e-01,1.115250287e-02,9.717048533e-02,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
3.201930259e+00,4.687651004e+01,1.662123368e+01,1.625471219e+01,-1.249305205e+00,3.311673040e-02,9.932961274e-01,-9.906030857e-02,-5.681226367e-02,7.001783054e-02,9.212303759e-01,-3.826624941e-01,9.021756947e-02,3.759522076e-01,9.220534455e-01,3.391005019e-02,2.227124436e-01,-2.286091737e-01,6.697757258e+00,6.743530464e+00,-2.232282056e-01,1.107592315e-02,1.214631067e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
3.596440037e+00,4.684445360e+01,1.662111754e+01,1.622847521e+01,-1.365789182e+00,-1.444870990e-02,9.923806217e-01,-1.062039733e-01,-5.967706895e-02,7.560873360e-02,9.209690127e-01,-3.822297174e-01,9.552693056e-02,3.746285615e-01,9.220466275e-01,3.330544547e-02,2.210663868e-01,-2.287465699e-01,6.819220290e+00,6.864993534e+00,-2.239821718e-01,1.099934343e-02,1.457557280e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
3.990331371e+00,4.680970864e+01,1.662001125e+01,1.620222301e+01,-1.481806557e+00,-6.147083986e-02,9.914177805e-01,-1.133261780e-01,-6.249758833e-02,8.120063549e-02,9.206607877e-01,-3.818261609e-01,1.007814899e-01,3.732965334e-01,9.220261980e-01,3.269881111e-02,2.194741177e-01,-2.288840626e-01,6.940683322e+00,6.986456604e+00,-2.247361381e-01,1.092276371e-02,1.700483493e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
4.383601767e+00,4.677227139e+01,1.661791035e+01,1.617595195e+01,-1.597382945e+00,-1.079796704e-01,9.904071053e-01,-1.204273386e-01,-6.527580804e-02,8.679306054e-02,9.203057920e-01,-3.814517672e-01,1.059834055e-01,3.719553863e-01,9.219918808e-01,3.209031665e-02,2.179375930e-01,-2.290216415e-01,7.062146354e+00,7.107919675e+00,-2.254901043e-01,1.084618399e-02,1.943409707e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
4.776248725e+00,4.673213811e+01,1.661481036e+01,1.614965844e+01,-1.712543964e+00,-1.540052123e-01,9.893480975e-01,-1.275078708e-01,-6.801371433e-02,9.238553307e-02,9.199041167e-01,-3.811064789e-01,1.111348355e-01,3.706043834e-01,9.219433997e-01,3.148013163e-02,2.164587696e-01,-2.291592963e-01,7.183609386e+00,7.229382745e+00,-2.262440705e-01,1.076960427e-02,2.186335920e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
