   arc_length_s     gamma_x(s)       gamma_y(s)    gamma_z(s)
   0.000000e+00    0.000000e+00    0.000000e+00    5.000000e-01
   2.000000e-02    2.000000e-02    0.000000e+00    5.000000e-01
   4.000000e-02    3.999600e-02    3.999733e-04    5.000000e-01
   6.000000e-02    5.998000e-02    1.199760e-03    5.000000e-01
   8.000000e-02    7.994401e-02    2.399040e-03    5.000000e-01
   1.000000e-01    9.988005e-02    3.997334e-03    5.000000e-01
   1.200000e-01    1.197801e-01    5.994002e-03    5.000000e-01
   1.400000e-01    1.396363e-01    8.388247e-03    5.000000e-01
   1.600000e-01    1.594406e-01    1.117911e-02    5.000000e-01
   1.800000e-01    1.791852e-01    1.436547e-02    5.000000e-01
   2.000000e-01    1.988620e-01    1.794606e-02    5.000000e-01
   2.200000e-01    2.184634e-01    2.191945e-02    5.000000e-01
   2.400000e-01    2.379813e-01    2.628404e-02    5.000000e-01
   2.600000e-01    2.574081e-01    3.103810e-02    5.000000e-01
   2.800000e-01    2.767359e-01    3.617971e-02    5.000000e-01
   3.000000e-01    2.959570e-01    4.170682e-02    5.000000e-01
   3.200000e-01    3.150637e-01    4.761722e-02    5.000000e-01
   3.400000e-01    3.340484e-01    5.390856e-02    5.000000e-01
   3.600000e-01    3.529035e-01    6.057830e-02    5.000000e-01
   3.800000e-01    3.716215e-01    6.762378e-02    5.000000e-01
   4.000000e-01    3.901948e-01    7.504219e-02    5.000000e-01
   4.200000e-01    4.086160e-01    8.283056e-02    5.000000e-01
   4.400000e-01    4.268778e-01    9.098577e-02    5.000000e-01
   4.600000e-01    4.449728e-01    9.950456e-02    5.000000e-01
   4.800000e-01    4.628938e-01    1.083835e-01    5.000000e-01
   5.000000e-01    4.806337e-01    1.176191e-01    5.000000e-01
   5.200000e-01    4.981854e-01    1.272076e-01    5.000000e-01
   5.400000e-01    5.155418e-01    1.371452e-01    5.000000e-01
   5.600000e-01    5.326959e-01    1.474279e-01    5.000000e-01
   5.800000e-01    5.496410e-01    1.580517e-01    5.000000e-01
   6.000000e-01    5.663703e-01    1.690121e-01    5.000000e-01
   6.200000e-01    5.828770e-01    1.803050e-01    5.000000e-01
   6.400000e-01    5.991546e-01    1.919257e-01    5.000000e-01
   6.600000e-01    6.151965e-01    2.038696e-01    5.000000e-01
   6.800000e-01    6.309963e-01    2.161319e-01    5.000000e-01
   7.000000e-01    6.465478e-01    2.287078e-01    5.000000e-01
   7.200000e-01    6.618446e-01    2.415922e-01    5.000000e-01
   7.400000e-01    6.768807e-01    2.547798e-01    5.000000e-01
   7.600000e-01    6.916501e-01    2.682656e-01    5.000000e-01
   7.800000e-01    7.061468e-01    2.820440e-01    5.000000e-01
   8.000000e-01    7.203651e-01    2.961096e-01    5.000000e-01
   8.200000e-01    7.342992e-01    3.104567e-01    5.000000e-01
   8.400000e-01    7.479437e-01    3.250797e-01    5.000000e-01
   8.600000e-01    7.612929e-01    3.399725e-01    5.000000e-01
   8.800000e-01    7.743417e-01    3.551294e-01    5.000000e-01
   9.000000e-01    7.870847e-01    3.705441e-01    5.000000e-01
   9.200000e-01    7.995169e-01    3.862107e-01    5.000000e-01
   9.400000e-01    8.116333e-01    4.021227e-01    5.000000e-01
   9.600000e-01    8.234291e-01    4.182739e-01    5.000000e-01
   9.800000e-01    8.348995e-01    4.346577e-01    5.000000e-01
   1.000000e+00    8.460399e-01    4.512677e-01    5.000000e-01
   1.020000e+00    8.568460e-01    4.680971e-01    5.000000e-01
   1.040000e+00    8.673133e-01    4.851392e-01    5.000000e-01
   1.060000e+00    8.774377e-01    5.023873e-01    5.000000e-01
   1.080000e+00    8.872151e-01    5.198344e-01    5.000000e-01
   1.100000e+00    8.966417e-01    5.374736e-01    5.000000e-01
   1.120000e+00    9.057136e-01    5.552977e-01    5.000000e-01
   1.140000e+00    9.144273e-01    5.732997e-01    5.000000e-01
   1.160000e+00    9.227792e-01    5.914724e-01    5.000000e-01
   1.180000e+00    9.307659e-01    6.098085e-01    5.000000e-01
   1.200000e+00    9.383844e-01    6.283006e-01    5.000000e-01
   1.220000e+00    9.456316e-01    6.469414e-01    5.000000e-01
   1.240000e+00    9.525045e-01    6.657234e-01    5.000000e-01
   1.260000e+00    9.590004e-01    6.846390e-01    5.000000e-01
   1.280000e+00    9.651168e-01    7.036809e-01    5.000000e-01
   1.300000e+00    9.708511e-01    7.228412e-01    5.000000e-01
   1.320000e+00    9.762011e-01    7.421123e-01    5.000000e-01
