   arc_length_s    gamma_x(s)      gamma_y(s)      gamma_z(s)
   0.000000e+00    -1.030414e+00    2.007379e+00    2.606630e-04
  2.000000e-02    -1.110007e+00    2.024559e+00    3.428697e-03
  4.000000e-02    -1.189023e+00    2.038533e+00    1.018331e-02
  6.000000e-02    -1.267336e+00    2.049302e+00    2.050020e-02
  8.000000e-02    -1.344818e+00    2.056875e+00    3.434222e-02
  1.000000e-01    -1.421344e+00    2.061261e+00    5.165958e-02
  1.200000e-01    -1.496789e+00    2.062479e+00    7.238993e-02
  1.400000e-01    -1.571030e+00    2.060551e+00    9.645868e-02
  1.600000e-01    -1.643944e+00    2.055502e+00    1.237792e-01
  1.800000e-01    -1.715411e+00    2.047365e+00    1.542532e-01
  2.000000e-01    -1.785312e+00    2.036176e+00    1.877709e-01
  2.200000e-01    -1.853532e+00    2.021978e+00    2.242118e-01
  2.400000e-01    -1.919955e+00    2.004815e+00    2.634447e-01
  2.600000e-01    -1.984469e+00    1.984739e+00    3.053284e-01
  2.800000e-01    -2.046966e+00    1.961805e+00    3.497122e-01
  3.000000e-01    -2.107339e+00    1.936073e+00    3.964363e-01
  3.200000e-01    -2.165484e+00    1.907607e+00    4.453325e-01
  3.400000e-01    -2.221301e+00    1.876476e+00    4.962250e-01
  3.600000e-01    -2.274692e+00    1.842751e+00    5.489305e-01
  3.800000e-01    -2.325564e+00    1.806509e+00    6.032594e-01
  4.000000e-01    -2.373826e+00    1.767831e+00    6.590162e-01
  4.200000e-01    -2.419392e+00    1.726800e+00    7.160001e-01
  4.400000e-01    -2.462180e+00    1.683504e+00    7.740060e-01
  4.600000e-01    -2.502109e+00    1.638035e+00    8.328254e-01
  4.800000e-01    -2.539108e+00    1.590485e+00    8.922463e-01
  5.000000e-01    -2.573104e+00    1.540953e+00    9.520551e-01
  5.200000e-01    -2.604032e+00    1.489540e+00    1.012036e+00
  5.400000e-01    -2.631831e+00    1.436347e+00    1.071974e+00
  5.600000e-01    -2.656444e+00    1.381481e+00    1.131653e+00
  5.800000e-01    -2.677818e+00    1.325051e+00    1.190859e+00
  6.000000e-01    -2.695908e+00    1.267165e+00    1.249377e+00
  6.200000e-01    -2.710669e+00    1.207938e+00    1.306998e+00
  6.400000e-01    -2.722065e+00    1.147482e+00    1.363514e+00
  6.600000e-01    -2.730064e+00    1.085915e+00    1.418721e+00
  6.800000e-01    -2.734637e+00    1.023353e+00    1.472422e+00
  7.000000e-01    -2.735762e+00    9.599152e-01    1.524423e+00
  7.200000e-01    -2.733423e+00    8.957219e-01    1.574536e+00
  7.400000e-01    -2.727606e+00    8.308936e-01    1.622581e+00
  7.600000e-01    -2.718306e+00    7.655517e-01    1.668386e+00
  7.800000e-01    -2.705521e+00    6.998184e-01    1.711785e+00
  8.000000e-01    -2.689253e+00    6.338157e-01    1.752623e+00
  8.200000e-01    -2.669513e+00    5.676661e-01    1.790752e+00
  8.400000e-01    -2.646314e+00    5.014918e-01    1.826035e+00
  8.600000e-01    -2.619676e+00    4.354146e-01    1.858346e+00
  8.800000e-01    -2.589622e+00    3.695562e-01    1.887567e+00
  9.000000e-01    -2.556183e+00    3.040370e-01    1.913594e+00
  9.200000e-01    -2.519393e+00    2.389769e-01    1.936333e+00
  9.400000e-01    -2.479293e+00    1.744945e-01    1.955702e+00
  9.600000e-01    -2.435926e+00    1.107073e-01    1.971632e+00
  9.800000e-01    -2.389343e+00    4.773105e-02    1.984065e+00
  1.000000e+00    -2.339598e+00    -1.432008e-02    1.992956e+00
  1.020000e+00    -2.286751e+00    -7.533380e-02    1.998274e+00
  1.040000e+00    -2.230865e+00    -1.351999e-01    1.999999e+00
  1.060000e+00    -2.172010e+00    -1.938104e-01    1.998125e+00
  1.080000e+00    -2.110259e+00    -2.510597e-01    1.992659e+00
  1.100000e+00    -2.045690e+00    -3.068450e-01    1.983621e+00
  1.120000e+00    -1.978384e+00    -3.610660e-01    1.971042e+00
  1.140000e+00    -1.908427e+00    -4.136255e-01    1.954969e+00
  1.160000e+00    -1.835910e+00    -4.644293e-01    1.935459e+00
  1.180000e+00    -1.760927e+00    -5.133865e-01    1.912582e+00
  1.200000e+00    -1.683575e+00    -5.604097e-01    1.886421e+00
  1.220000e+00    -1.603956e+00    -6.054147e-01    1.857070e+00
  1.240000e+00    -1.522175e+00    -6.483214e-01    1.824635e+00
  1.260000e+00    -1.438339e+00    -6.890532e-01    1.789231e+00
  1.280000e+00    -1.352561e+00    -7.275376e-01    1.750987e+00
  1.300000e+00    -1.264955e+00    -7.637061e-01    1.710041e+00
  1.320000e+00    -1.175636e+00    -7.974944e-01    1.666539e+00
  1.340000e+00    -1.084726e+00    -8.288423e-01    1.620638e+00
  1.360000e+00    -9.923464e-01    -8.576942e-01    1.572503e+00
  1.380000e+00    -8.986211e-01    -8.839988e-01    1.522309e+00
  1.400000e+00    -8.036767e-01    -9.077096e-01    1.470234e+00
  1.420000e+00    -7.076416e-01    -9.287843e-01    1.416467e+00
  1.440000e+00    -6.106456e-01    -9.471856e-01    1.361201e+00
  1.460000e+00    -5.128201e-01    -9.628810e-01    1.304636e+00
  1.480000e+00    -4.142978e-01    -9.758425e-01    1.246974e+00
  1.500000e+00    -3.152123e-01    -9.860472e-01    1.188423e+00
  1.520000e+00    -2.156984e-01    -9.934771e-01    1.129194e+00
  1.540000e+00    -1.158912e-01    -9.981189e-01    1.069500e+00
  1.560000e+00    -1.592644e-02    -9.999645e-01    1.009556e+00
  1.580000e+00    8.405999e-02    -9.990105e-01    9.495773e-01
  1.600000e+00    1.839321e-01    -9.952587e-01    8.897803e-01
  1.620000e+00    2.835542e-01    -9.887158e-01    8.303800e-01
  1.640000e+00    3.827907e-01    -9.793932e-01    7.715901e-01
  1.660000e+00    4.815070e-01    -9.673075e-01    7.136223e-01
  1.680000e+00    5.795689e-01    -9.524802e-01    6.566851e-01
  1.700000e+00    6.768434e-01    -9.349375e-01    6.009834e-01
  1.720000e+00    7.731988e-01    -9.147105e-01    5.467178e-01
  1.740000e+00    8.685046e-01    -8.918351e-01    4.940836e-01
  1.760000e+00    9.626320e-01    -8.663518e-01    4.432700e-01
  1.780000e+00    1.055454e+00    -8.383059e-01    3.944601e-01
  1.800000e+00    1.146846e+00    -8.077472e-01    3.478295e-01
  1.820000e+00    1.236684e+00    -7.747300e-01    3.035460e-01
  1.840000e+00    1.324849e+00    -7.393129e-01    2.617690e-01
  1.860000e+00    1.411222e+00    -7.015590e-01    2.226488e-01
  1.880000e+00    1.495688e+00    -6.615353e-01    1.863263e-01
  1.900000e+00    1.578136e+00    -6.193133e-01    1.529321e-01
  1.920000e+00    1.658455e+00    -5.749681e-01    1.225864e-01
  1.940000e+00    1.736540e+00    -5.285788e-01    9.539843e-02
  1.960000e+00    1.812289e+00    -4.802283e-01    7.146608e-02
  1.980000e+00    1.885602e+00    -4.300030e-01    5.087545e-02
  2.000000e+00    1.956384e+00    -3.779927e-01    3.370064e-02
  2.020000e+00    2.024544e+00    -3.242905e-01    2.000346e-02
  2.040000e+00    2.089994e+00    -2.689928e-01    9.833219e-03
  2.060000e+00    2.152651e+00    -2.121988e-01    3.226505e-03
  2.080000e+00    2.212437e+00    -1.540105e-01    2.070999e-04
  2.100000e+00    2.269276e+00    -9.453274e-02    7.858692e-04
  2.120000e+00    2.323098e+00    -3.387272e-02    4.960730e-03
  2.140000e+00    2.373838e+00    2.786006e-02    1.271666e-02
  2.160000e+00    2.421434e+00    9.055394e-02    2.402574e-02
  2.180000e+00    2.465831e+00    1.540953e-01    3.884728e-02
  2.200000e+00    2.506977e+00    2.183689e-01    5.712792e-02
  2.220000e+00    2.544826e+00    2.832578e-01    7.880189e-02
  2.240000e+00    2.579337e+00    3.486437e-01    1.037912e-01
  2.260000e+00    2.610472e+00    4.144072e-01    1.320058e-01
  2.280000e+00    2.638201e+00    4.804278e-01    1.633444e-01
  2.300000e+00    2.662498e+00    5.465844e-01    1.976939e-01
  2.320000e+00    2.683342e+00    6.127551e-01    2.349309e-01
  2.340000e+00    2.700717e+00    6.788179e-01    2.749214e-01
  2.360000e+00    2.714612e+00    7.446503e-01    3.175213e-01
  2.380000e+00    2.725022e+00    8.101301e-01    3.625774e-01
  2.400000e+00    2.731948e+00    8.751352e-01    4.099276e-01
  2.420000e+00    2.735394e+00    9.395439e-01    4.594013e-01
  2.440000e+00    2.735371e+00    1.003235e+00    5.108207e-01
  2.460000e+00    2.731893e+00    1.066089e+00    5.640005e-01
  2.480000e+00    2.724983e+00    1.127986e+00    6.187495e-01
  2.500000e+00    2.714666e+00    1.188808e+00    6.748706e-01
  2.520000e+00    2.700973e+00    1.248440e+00    7.321618e-01
  2.540000e+00    2.683939e+00    1.306765e+00    7.904169e-01
  2.560000e+00    2.663606e+00    1.363671e+00    8.494263e-01
  2.580000e+00    2.640019e+00    1.419047e+00    9.089776e-01
  2.600000e+00    2.613229e+00    1.472784e+00    9.688565e-01
  2.620000e+00    2.583291e+00    1.524776e+00    1.028847e+00
  2.640000e+00    2.550265e+00    1.574918e+00    1.088735e+00
  2.660000e+00    2.514216e+00    1.623110e+00    1.148302e+00
  2.680000e+00    2.475212e+00    1.669252e+00    1.207336e+00
  2.700000e+00    2.433327e+00    1.713251e+00    1.265624e+00
  2.720000e+00    2.388637e+00    1.755012e+00    1.322956e+00
  2.740000e+00    2.341224e+00    1.794449e+00    1.379126e+00
  2.760000e+00    2.291174e+00    1.831476e+00    1.433931e+00
  2.780000e+00    2.238576e+00    1.866011e+00    1.487175e+00
  2.800000e+00    2.183521e+00    1.897977e+00    1.538665e+00
  2.820000e+00    2.126107e+00    1.927300e+00    1.588216e+00
  2.840000e+00    2.066433e+00    1.953910e+00    1.635651e+00
  2.860000e+00    2.004601e+00    1.977741e+00    1.680798e+00
  2.880000e+00    1.940717e+00    1.998734e+00    1.723495e+00
  2.900000e+00    1.874890e+00    2.016830e+00    1.763588e+00
  2.920000e+00    1.807230e+00    2.031978e+00    1.800933e+00
  2.940000e+00    1.737852e+00    2.044130e+00    1.835395e+00
  2.960000e+00    1.666871e+00    2.053244e+00    1.866851e+00
  2.980000e+00    1.594405e+00    2.059280e+00    1.895187e+00
  3.000000e+00    1.520574e+00    2.062205e+00    1.920302e+00
  3.020000e+00    1.445499e+00    2.061992e+00    1.942104e+00
  3.040000e+00    1.369304e+00    2.058617e+00    1.960516e+00
  3.060000e+00    1.292113e+00    2.052061e+00    1.975471e+00
  3.080000e+00    1.214051e+00    2.042311e+00    1.986916e+00
  3.100000e+00    1.135245e+00    2.029358e+00    1.994808e+00
  3.120000e+00    1.055822e+00    2.013199e+00    1.999120e+00
  3.140000e+00    9.759090e-01    1.993837e+00    1.999837e+00
  3.160000e+00    8.956350e-01    1.971277e+00    1.996955e+00
  3.180000e+00    8.151276e-01    1.945533e+00    1.990486e+00
  3.200000e+00    7.345147e-01    1.916621e+00    1.980451e+00
  3.220000e+00    6.539240e-01    1.884564e+00    1.966888e+00
  3.240000e+00    5.734824e-01    1.849389e+00    1.949845e+00
  3.260000e+00    4.933165e-01    1.811128e+00    1.929384e+00
  3.280000e+00    4.135516e-01    1.769819e+00    1.905578e+00
  3.300000e+00    3.343122e-01    1.725504e+00    1.878513e+00
  3.320000e+00    2.557213e-01    1.678230e+00    1.848287e+00
  3.340000e+00    1.779003e-01    1.628050e+00    1.815007e+00
  3.360000e+00    1.009692e-01    1.575020e+00    1.778794e+00
  3.380000e+00    2.504584e-02    1.519201e+00    1.739779e+00
  3.400000e+00    -4.975392e-02    1.460659e+00    1.698101e+00
  3.420000e+00    -1.233165e-01    1.399466e+00    1.653910e+00
  3.440000e+00    -1.955307e-01    1.335695e+00    1.607366e+00
  3.460000e+00    -2.662881e-01    1.269425e+00    1.558637e+00
  3.480000e+00    -3.354828e-01    1.200741e+00    1.507897e+00
  3.500000e+00    -4.030122e-01    1.129729e+00    1.455329e+00
  3.520000e+00    -4.687765e-01    1.056480e+00    1.401122e+00
  3.540000e+00    -5.326793e-01    9.810891e-01    1.345472e+00
  3.560000e+00    -5.946277e-01    9.036549e-01    1.288578e+00
  3.580000e+00    -6.545323e-01    8.242792e-01    1.230646e+00
  3.600000e+00    -7.123074e-01    7.430673e-01    1.171883e+00
  3.620000e+00    -7.678710e-01    6.601275e-01    1.112503e+00
  3.640000e+00    -8.211454e-01    5.755713e-01    1.052717e+00
  3.660000e+00    -8.720566e-01    4.895127e-01    9.927413e-01
  3.680000e+00    -9.205352e-01    4.020685e-01    9.327919e-01
  3.700000e+00    -9.665157e-01    3.133581e-01    8.730844e-01
  3.720000e+00    -1.009937e+00    2.235030e-01    8.138337e-01
  3.740000e+00    -1.050744e+00    1.326268e-01    7.552530e-01
  3.760000e+00    -1.088883e+00    4.085494e-02    6.975531e-01
  3.780000e+00    -1.124308e+00    -5.168523e-02    6.409416e-01
  3.800000e+00    -1.156976e+00    -1.448650e-01    5.856224e-01
  3.820000e+00    -1.186850e+00    -2.385543e-01    5.317946e-01
  3.840000e+00    -1.213897e+00    -3.326220e-01    4.796517e-01
  3.860000e+00    -1.238089e+00    -4.269361e-01    4.293815e-01
  3.880000e+00    -1.259403e+00    -5.213637e-01    3.811650e-01
  3.900000e+00    -1.277821e+00    -6.157715e-01    3.351756e-01
  3.920000e+00    -1.293330e+00    -7.100260e-01    2.915788e-01
  3.940000e+00    -1.305923e+00    -8.039935e-01    2.505316e-01
  3.960000e+00    -1.315595e+00    -8.975406e-01    2.121816e-01
  3.980000e+00    -1.322350e+00    -9.905338e-01    1.766670e-01
  4.000000e+00    -1.326193e+00    -1.082841e+00    1.441155e-01
  4.020000e+00    -1.327138e+00    -1.174329e+00    1.146442e-01
  4.040000e+00    -1.325200e+00    -1.264868e+00    8.835925e-02
  4.060000e+00    -1.320403e+00    -1.354328e+00    6.535522e-02
  4.080000e+00    -1.312772e+00    -1.442581e+00    4.571491e-02
  4.100000e+00    -1.302339e+00    -1.529498e+00    2.950899e-02
  4.120000e+00    -1.289140e+00    -1.614956e+00    1.679579e-02
  4.140000e+00    -1.273217e+00    -1.698830e+00    7.621064e-03
  4.160000e+00    -1.254615e+00    -1.781000e+00    2.017832e-03
  4.180000e+00    -1.233384e+00    -1.861348e+00    6.257143e-06
